pH;Turbidez;CRL;Coliformes;Ecoli;Precipitação;Latitude;Longitude;Manancial;Lat_Norm;Long_Norm
0.48;0.00925;0.017;0;0;1;-26.9592;-50.4252;1;0.174050599;0.522015577
0.467;0.005;0.062;1;0;0.508156633;-8.35672;-35.2241;1;0.650755887;0.858749156
0.47;0.0005;0;0;0;0.179767244;-2.88769;-40.1183;3;0.790904702;0.75033322
0.55;0.0075;0.043;0;0;0.427290199;-10.5767;-40.2785;1;0.593866902;0.746784482
0.527;0.0005;0.2;0;0;0.039741237;-4.58571;-42.8583;1;0.747391412;0.689636954
0.43;0.05025;0.3;1;0;0.702326951;-9.01241;-42.6987;1;0.633953241;0.693172401
0.58;0.017;0.05;0;0;0.350112803;-27.0653;-53.3265;3;0.171331691;0.457746206
0.58;0.0225;0.4;0;0;0.942973328;-19.39515;-41.17038;1;0.367886186;0.727027626
0.48;0.0375;0.18;1;0;0.799837996;-4.56482;-44.6006;1;0.747926737;0.651041661
0.5;0.0695;0.076;0;0;1;-12.6187;-38.2926;3;0.541538815;0.790775984
0.52;0.06125;0.095;0;0;0.894570616;-31.8419;-52.8004;2;0.048927018;0.469400332
0.54;0.0225;0.193;0;0;0.191319928;-27.0019;-51.2442;3;0.172956373;0.503873153
0.571;0;0.107;0;0;0.672364323;-26.9592;-50.4252;1;0.174050599;0.522015577
0.52;0.0075;0.074;;;0.030281046;-9.06596;-68.6571;1;0.632580974;0.118143952
0.49;0.025;0.17;;;0.93693158;-9.11125;-37.1226;1;0.631420377;0.816693733
0.56;0.04375;0.08;0;0;0.635168678;-13.9109;-42.8439;1;0.508425027;0.689955942
0.48;0.05975;0.113;0;0;0.062171803;-14.5003;-42.2229;2;0.493321122;0.703712286
0.5;0.034;0.036;0;0;0.296036251;-11.8618;-38.7639;3;0.560935058;0.780335783
0.465;0.495;0.219;0;0;0.209372379;-27.0772;-52.1289;1;0.171026743;0.484275348
0.537;0.001;0.2;0;0;0.046542571;-22.5249;-45.4945;1;0.287683526;0.631240058
0.54;0.001;0.25;0;0;1;-26.635;-52.4556;3;0.182358516;0.477038315
